;university_name;long;lat;periode;effectif
1550;Williams College;-73.203;42.713;1861-1901;1
1551;Williams College;-73.203;42.713;1921-1941;3
1552;Williams College;-73.203;42.713;1941-1951;1
1553;Worcester College, Oxford;-1.2637;51.755;1951-1961;1
1554;Worcester Polytechnic Institute;-71.8075;42.2744;1951-1961;1
1555;Worcester Polytechnic Institute;-71.8075;42.2744;1961-1971;1
1556;Wrocław University of Economics;17.025;51.0914;1951-1961;1
1557;Xavier University;-84.478;39.1487;1951-1961;1
1558;Yale School of Management;-72.9203;41.3153;1941-1951;1
1559;Yale University;-72.9267;41.3111;1771-1861;1
1560;Yale University;-72.9267;41.3111;1861-1901;5
1561;Yale University;-72.9267;41.3111;1901-1921;6
1562;Yale University;-72.9267;41.3111;1921-1941;15
1563;Yale University;-72.9267;41.3111;1941-1951;15
1564;Yale University;-72.9267;41.3111;1951-1961;18
1565;Yale University;-72.9267;41.3111;1961-1971;7
1566;Yankton College;-97.3903;42.8803;1861-1901;1
1567;Yerevan State University;44.5264;40.1817;1951-1961;1
1568;Yerevan State University;44.5264;40.1817;1961-1971;1
1569;Yokohama National University;139.59;35.474;1941-1951;1
1570;Yonsei University;126.939;37.5664;1921-1941;1
1571;Yonsei University;126.939;37.5664;1961-1971;1
1572;York University;-79.5036;43.7731;1951-1961;1
1573;Ypsilanti, Michigan;-83.6183;42.2428;1941-1951;1
1574;École Polytechnique;2.209;48.713;1771-1861;2
1575;École Polytechnique;2.209;48.713;1901-1921;1
1576;École Polytechnique;2.209;48.713;1941-1951;4
1577;École Polytechnique;2.209;48.713;1951-1961;2
1578;École Polytechnique;2.209;48.713;1961-1971;2
1579;École nationale d'administration;7.73722;48.5806;1941-1951;3
1580;École nationale d'administration;7.73722;48.5806;1951-1961;1
1581;École nationale de l'aviation civile;1.48111;43.5653;1921-1941;2
1582;École normale supérieure Paris-Saclay;2.32663;48.7887;1971-2001;1
1583;École pratique des hautes études;2.34;48.8311;1901-1921;1
1584;Örebro University;15.2453;59.2544;1961-1971;1
