;place_name;place_type;long;lat;concat_person;person
81;Austria-Hungary;Country;16.35;48.2;http://dbpedia.org/resource/Eugeniusz_Kwiatkowski|Eugeniusz Kwiatkowski (1888),http://dbpedia.org/resource/Fritz_Machlup|Fritz Machlup (1902),http://dbpedia.org/resource/Gottfried_Haberler|Gottfried Haberler (1900),http://dbpedia.org/resource/Imrich_Karvaš|Imrich Karvaš (1903),http://dbpedia.org/resource/István_Antos|István Antos (1908),http://dbpedia.org/resource/Jozo_Tomasevich|Jozo Tomasevich (1908),http://dbpedia.org/resource/János_Bud|János Bud (1880),http://dbpedia.org/resource/Józef_Buzek|Józef Buzek (1873),http://dbpedia.org/resource/Lóránt_Hegedüs|Lóránt Hegedüs (1872),http://dbpedia.org/resource/Mate_Balota|Mate Balota (1898),http://dbpedia.org/resource/Paul_Streeten|Paul Streeten (1917),http://dbpedia.org/resource/Richard_Ritter_von_Strigl|Richard Ritter von Strigl (1891),http://dbpedia.org/resource/Roman_Rybarski|Roman Rybarski (1887),http://dbpedia.org/resource/Vladimir_Žerjavić|Vladimir Žerjavić (1912);14
82;Averøy;AdministrativeRegion;7.55528;62.9972;http://dbpedia.org/resource/Gunnar_Kjønnøy|Gunnar Kjønnøy (1947);1
83;Ayeyarwady Region;AdministrativeRegion;95.1667;16.8333;http://dbpedia.org/resource/Hla_Myint|Hla Myint (2000);1
84;Aylesbury;;-0.8124;51.8168;http://dbpedia.org/resource/Kitty_Ussher|Kitty Ussher (1971);1
85;Ayrshire;AdministrativeRegion;-4.5;55.5;http://dbpedia.org/resource/Adam_Ingram_(SNP_politician)|Adam Ingram (SNP politician) (1951);1
86;Azerbaijan;Country;49.8822;40.3953;http://dbpedia.org/resource/Bayali_Atashov|Bayali Atashov (1946),http://dbpedia.org/resource/Elman_Rustamov|Elman Rustamov (1952);2
87;Azores;AdministrativeRegion;-28.5167;38.8;http://dbpedia.org/resource/Duarte_Freitas|Duarte Freitas (1966);1
88;Backergunge District;AdministrativeRegion;90.3333;22.5;http://dbpedia.org/resource/Swadesh_Bose|Swadesh Bose (1928);1
89;Backnang;Town;9.43056;48.9464;http://dbpedia.org/resource/Thomas_Mayer_(German_economist)|Thomas Mayer (German economist) (1954);1
90;Bacău;;26.9167;46.5833;http://dbpedia.org/resource/Gabriela_Firea|Gabriela Firea (1972),http://dbpedia.org/resource/Lucrețiu_Pătrășcanu|Lucrețiu Pătrășcanu (1900);2
91;Bad Ems;Town;7.71056;50.3381;http://dbpedia.org/resource/Adolf_Reichwein|Adolf Reichwein (1898);1
92;Bad Harzburg;Town;10.5622;51.8811;http://dbpedia.org/resource/Waldemar_Koch|Waldemar Koch (1880);1
93;Bad Salzuflen;Town;8.75056;52.0875;http://dbpedia.org/resource/Horst_Steinmann|Horst Steinmann (1934);1
94;Bad Wörishofen;Town;10.5969;48.0058;http://dbpedia.org/resource/Arye_L._Hillman|Arye L. Hillman (1947),http://dbpedia.org/resource/Murray_Sabrin|Murray Sabrin (1946);2
95;Badou;;0.6;7.58333;http://dbpedia.org/resource/Nicéphore_Soglo|Nicéphore Soglo (1934);1
96;Bafoulabé;Town;-10.8306;13.8083;http://dbpedia.org/resource/Mandé_Sidibé|Mandé Sidibé (1940);1
97;Bagadó;Town;-76.4167;5.41667;http://dbpedia.org/resource/Elíseo_Arango_Ramos|Elíseo Arango Ramos (1900);1
98;Bagalkot;City;75.6958;16.1817;http://dbpedia.org/resource/V._R._Panchamukhi|V. R. Panchamukhi (1936);1
99;Baja, Hungary;Town;18.9537;46.1833;http://dbpedia.org/resource/Radovan_Jelašić|Radovan Jelašić (1968);1
100;Bakersfield, California;City;-119.017;35.3667;http://dbpedia.org/resource/Warren_Coats|Warren Coats (1942);1
101;Baku;City;49.8822;40.3953;http://dbpedia.org/resource/Azer_Amiraslanov|Azer Amiraslanov (1971);1
102;Balatina;Village;27.35;47.7;http://dbpedia.org/resource/Anatol_Stati|Anatol Stati (1952);1
103;Balatonlelle;Town;17.6757;46.7822;http://dbpedia.org/resource/István_Kossa|István Kossa (1904);1
104;Balingen;Town;8.85056;48.2731;http://dbpedia.org/resource/Gerd_Hahn|Gerd Hahn (1981);1
105;Ballston, New York;Town;-73.8747;42.9533;http://dbpedia.org/resource/Sidney_Sherwood|Sidney Sherwood (1860);1
106;Baltimore;City;-76.6153;39.2894;http://dbpedia.org/resource/Ansley_J._Coale|Ansley J. Coale (1917),http://dbpedia.org/resource/Leo_Wolman|Leo Wolman (1890),http://dbpedia.org/resource/Narayana_Kocherlakota|Narayana Kocherlakota (1963),http://dbpedia.org/resource/Samuel_L._Myers_Sr.|Samuel L. Myers Sr. (1919);4
107;Bandung;City;107.61;-6.912;http://dbpedia.org/resource/Faisal_Basri|Faisal Basri (1959);1
108;Banfield, Buenos Aires;City;-58.3833;-34.75;http://dbpedia.org/resource/Rodolfo_Frigeri|Rodolfo Frigeri (1941);1
109;Bangka Island;Island;106.0;-2.25;http://dbpedia.org/resource/Satrio_Budihardjo_Joedono|Satrio Budihardjo Joedono (1932);1
110;Bangkok;City;100.494;13.7525;http://dbpedia.org/resource/Chalongphob_Sussangkarn|Chalongphob Sussangkarn (1950),http://dbpedia.org/resource/Chatumongol_Sonakul|Chatumongol Sonakul (1943),http://dbpedia.org/resource/Chirayu_Isarangkun_Na_Ayuthaya|Chirayu Isarangkun Na Ayuthaya (1942),http://dbpedia.org/resource/Kittiratt_Na-Ranong|Kittiratt Na-Ranong (1958),http://dbpedia.org/resource/Kosit_Panpiemras|Kosit Panpiemras (1943),http://dbpedia.org/resource/Piyasvasti_Amranand|Piyasvasti Amranand (1953),http://dbpedia.org/resource/Pridiyathorn_Devakula|Pridiyathorn Devakula (1947),http://dbpedia.org/resource/Puey_Ungphakorn|Puey Ungphakorn (1916),http://dbpedia.org/resource/Somkid_Jatusripitak|Somkid Jatusripitak (1953),http://dbpedia.org/resource/Suchart_Thada-Thamrongvech|Suchart Thada-Thamrongvech (1952),http://dbpedia.org/resource/Supachai_Panitchpakdi|Supachai Panitchpakdi (1946),http://dbpedia.org/resource/Tarisa_Watanagase|Tarisa Watanagase (1949),http://dbpedia.org/resource/Thirachai_Phuvanatnaranubala|Thirachai Phuvanatnaranubala (1951),http://dbpedia.org/resource/Veerathai_Santiprabhob|Veerathai Santiprabhob (1969),http://dbpedia.org/resource/Virachai_Virameteekul|Virachai Virameteekul (1967);15
111;Bangladesh;Country;90.3889;24.0;http://dbpedia.org/resource/Fakhruddin_Ahmed|Fakhruddin Ahmed (1940),http://dbpedia.org/resource/Rezaul_Kabir|Rezaul Kabir (2000),http://dbpedia.org/resource/Syed_Abdus_Samad|Syed Abdus Samad (2000);3
112;Banská Bystrica;City;19.1453;48.7353;http://dbpedia.org/resource/Marian_Kotleba|Marian Kotleba (1977);1
