FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
87;0;Point;Tombb;198;Continuous;0;25; ;0;99;390;1;1088;-282;2010-2011;3;282;30.44395945;19.61524284
88;0;Point;Tombb;198;Continuous;0;25; ;0;100;391;1;1086;-281;2010-2011;3;281;30.4439684;19.61522539
89;0;Point;Tombb;198;Continuous;0;25; ;0;101;392;1;1091;-283;2010-2011;3;283;30.44395041;19.61526906
90;0;Point;Tombb;198;Continuous;0;25; ;0;102;393;0;0;0;2010-2011;0;0;30.44653044;19.60572692
91;0;Point;Tombb;198;Continuous;0;25; ;0;103;640;1;1082;-274;2011-2012;3;274;30.44403015;19.61519094
92;0;Point;Tombb;198;Continuous;0;25; ;0;104;395;1;1090;-284;2010-2011;3;284;30.44394173;19.6152602
93;0;Point;Tombb;198;Continuous;0;25; ;0;105;396;1;1088;-283;2010-2011;3;283;30.44395068;19.61524275
94;0;Point;Tombb;198;Continuous;0;25; ;0;106;397;1;1086;-284;2010-2011;3;284;30.4439421;19.61522512
95;0;Point;Tombb;198;Continuous;0;25; ;0;107;398;1;1084;-284;2010-2011;3;284;30.44394228;19.61520758
96;0;Point;Tombb;198;Continuous;0;25; ;0;108;399;1;1090;-287;2010-2011;3;287;30.44391543;19.61525993
97;0;Point;Tombb;198;Continuous;0;25; ;0;109;400;1;1087;-286;2010-2011;3;286;30.44392447;19.61523371
98;0;Point;Tombb;198;Continuous;0;25; ;0;110;401;1;1084;-287;2010-2011;3;287;30.44391597;19.61520731
99;0;Point;Tombb;198;Continuous;0;25; ;0;111;402;1;1091;-290;2010-2011;3;290;30.44388903;19.61526843
100;0;Point;Tombb;198;Continuous;0;25; ;0;112;403;1;1090;-289;2010-2011;3;289;30.44389789;19.61525975
101;0;Point;Tombb;198;Continuous;0;25; ;0;113;404;1;1087;-289;2010-2011;3;289;30.44389816;19.61523344
102;0;Point;Tombb;198;Continuous;0;25; ;0;114;405;1;1082;-266;2010-2011;3;266;30.44410031;19.61519166
103;0;Point;Tombb;198;Continuous;0;25; ;0;115;406;1;1082;-268;2010-2011;3;268;30.44408277;19.61519148
104;0;Point;Tombb;198;Continuous;0;25; ;0;116;407;1;1075;-256;2010-2011;3;256;30.44418863;19.61513117
105;0;Point;Tombb;198;Continuous;0;25; ;0;117;408;1;1074;-256;2010-2011;3;256;30.44418872;19.6151224
106;0;Point;Tombb;198;Continuous;0;25; ;0;118;409;1;1073;-255;2010-2011;3;255;30.44419758;19.61511372
107;0;Point;Tombb;198;Continuous;0;25; ;0;119;410;1;1063;-257;2010-2011;3;257;30.44418094;19.61502585
108;0;Point;Tombb;198;Continuous;0;25; ;0;120;411;3;1101;-304;2010-2011;4;304;30.44376535;19.61535486
109;0;Point;Tombb;198;Continuous;0;25; ;0;121;412;3;1100;-303;2010-2011;4;303;30.44377421;19.61534618
110;0;Point;Tombb;198;Continuous;0;25; ;0;122;413;3;1098;-305;2010-2011;4;305;30.44375685;19.61532846
111;0;Point;Tombb;198;Continuous;0;25; ;0;123;414;3;1098;-304;2010-2011;4;304;30.44376562;19.61532855
112;0;Point;Tombb;198;Continuous;0;25; ;0;124;415;3;1098;-308;2010-2011;4;308;30.44373054;19.61532819
113;0;Point;Tombb;198;Continuous;0;25; ;0;125;416;3;1099;-307;2010-2011;4;307;30.44373922;19.61533705
114;0;Point;Tombb;198;Continuous;0;25; ;0;126;417;3;1101;-307;2010-2011;4;307;30.44373904;19.61535459
115;0;Point;Tombb;198;Continuous;0;25; ;0;127;418;3;1102;-306;2010-2011;4;306;30.44374772;19.61536345
116;0;Point;Tombb;198;Continuous;0;25; ;0;128;419;3;1103;-304;2010-2011;4;304;30.44376517;19.6153724
117;0;Point;Tombb;198;Continuous;0;25; ;0;129;420;3;1102;-303;2010-2011;4;303;30.44377403;19.61536372
118;0;Point;Tombb;198;Continuous;0;25; ;0;130;421;3;1097;-310;2010-2011;4;310;30.4437131;19.61531924
119;0;Point;Tombb;198;Continuous;0;25; ;0;131;422;3;1099;-310;2010-2011;4;310;30.44371292;19.61533678
120;0;Point;Tombb;198;Continuous;0;25; ;0;133;423;3;1100;-310;2010-2011;4;310;30.44371283;19.61534555
121;0;Point;Tombb;198;Continuous;0;25; ;0;134;424;3;1103;-309;2010-2011;4;309;30.44372132;19.61537195
