annee|continent
1945|Europe
1966|Europe
1964|Europe
1939|Europe
1918|Europe
1947|Europe
1948|Europe
1886|Europe
1963|Europe
1969|Europe
1956|Europe
1939|Europe
1848|Europe
1966|Double nat.
1954|Double nat.
1954|Double nat.
1949|Europe
1959|Europe
1914|Europe
1948|Europe
1970|Europe
1880|Europe
1925|Europe
1977|Europe
1885|Europe
1901|Europe
1962|Europe
1953|Europe
1968|Europe
1907|Europe
1906|Europe
1957|Europe
1969|Europe
1983|Europe
1952|Europe
1962|Europe
1968|Europe
1968|Europe
1945|Europe
1897|Europe
1930|Europe
1821|Europe
1942|Europe
1913|Europe
1842|Europe
1838|Europe
1943|Europe
1948|Europe
1922|Europe
1961|Europe
1951|Europe
1921|Europe
1851|Europe
1834|Europe
1938|Europe
1956|Europe
1941|Europe
1839|Europe
1940|Europe
1966|Europe
1940|Europe
1940|Europe
1961|Europe
1872|Europe
1910|Europe
1935|Europe
1906|Europe
1971|Europe
1969|Europe
1949|Europe
1852|Europe
1962|Europe
1952|Europe
1975|Europe
1954|Europe
1967|Europe
1876|Europe
1970|Europe
1954|Europe
1970|Europe
1891|Europe
1944|Europe
1936|Europe
1817|Europe
1899|Europe
1944|Europe
1925|Europe
1946|Europe
1963|Am. Sud
1959|Am. Sud
1951|Am. Sud
1948|Am. Sud
1944|Am. Sud
1920|Am. Sud
1932|Am. Sud
1917|Am. Sud
1938|Europe
1964|Europe
1948|Europe
1954|Europe
1979|Europe
1959|Europe
1937|Am. Nord
1951|Am. Nord
1915|Am. Nord
1958|Am. Nord
1955|Am. Nord
1914|Am. Nord
1952|Am. Nord
1944|Am. Nord
1894|Am. Nord
1961|Am. Nord
1941|Am. Nord
1955|Am. Nord
1948|Am. Nord
1879|Am. Nord
1946|Am. Nord
1939|Am. Nord
1955|Am. Nord
1943|Am. Nord
1945|Am. Nord
1953|Am. Nord
1925|Am. Nord
1875|Am. Nord
1972|Am. Nord
1929|Am. Nord
1932|Am. Nord
1914|Am. Nord
1926|Am. Nord
1949|Am. Nord
1906|Am. Nord
1925|Am. Nord
1948|Am. Nord
1964|Am. Nord
1935|Am. Nord
1793|Am. Nord
1963|Am. Nord
1948|Am. Nord
1958|Am. Nord
1928|Am. Nord
1944|Am. Nord
1962|Am. Nord
1908|Am. Nord
1856|Am. Nord
1953|Am. Nord
1862|Am. Nord
1927|Am. Nord
1942|Am. Nord
1961|Am. Nord
1922|Am. Nord
1921|Am. Nord
1905|Am. Nord
1953|Am. Nord
1898|Am. Nord
1942|Am. Nord
1919|Am. Nord
1969|Am. Nord
1930|Am. Nord
1942|Am. Nord
1908|Am. Nord
1966|Am. Nord
1912|Am. Nord
1946|Am. Nord
1940|Am. Nord
1927|Am. Nord
1951|Am. Nord
1909|Am. Nord
1910|Am. Nord
1948|Am. Nord
1947|Am. Nord
1932|Am. Nord
1926|Am. Nord
1926|Am. Nord
1940|Am. Nord
1913|Am. Nord
1922|Am. Nord
1920|Am. Nord
1951|Am. Nord
1937|Am. Nord
1946|Am. Nord
1940|Am. Nord
1946|Am. Nord
1889|Am. Nord
1919|Am. Nord
1888|Am. Nord
1935|Am. Nord
1918|Am. Nord
1945|Am. Nord
1942|Am. Nord
1967|Am. Nord
1937|Am. Nord
1902|Am. Nord
1943|Am. Nord
1935|Am. Nord
1921|Am. Nord
1926|Am. Nord
1944|Am. Nord
1936|Am. Nord
1931|Am. Nord
1874|Am. Nord
1868|Am. Nord
1941|Am. Nord
1885|Am. Nord
1953|Am. Nord
1977|Europe
1961|Europe
1864|Europe
1954|Europe
1950|Europe
1963|Europe
1783|Europe
1822|Europe
1962|Europe
1954|Europe
1963|Europe
1955|Europe
1964|Am. Sud
1965|Am. Sud
1901|Am. Sud
1987|Afrique
1867|Europe
1887|Double nat.
1915|Double nat.
1933|Asie
1958|Asie
1964|Asie
1947|Asie
1938|Asie
1953|Asie
1950|Asie
1944|Asie
1935|Asie
1971|Asie
1961|Asie
1968|Asie
1941|Asie
1955|Asie
1949|Asie
1939|Asie
1936|Asie
1974|Asie
1947|Asie
1959|Asie
1949|Am. Centr.
1963|Am. Centr.
1862|Europe
1925|Europe
1867|Europe
1844|Europe
1949|Europe
1893|Am. Nord
1964|Am. Nord
1961|Double nat.
1961|Europe
1964|Europe
1957|Europe
1988|Europe
1914|Europe
1930|Europe
1892|Europe
1937|Europe
1939|Europe
1946|Europe
1972|Europe
1958|Europe
1958|Europe
1972|Europe
1974|Europe
1973|Europe
1959|Europe
1984|Europe
1959|Europe
1924|Europe
1871|Europe
1955|Europe
1944|Asie
1932|Asie
1958|Afrique
1967|Afrique
1942|Europe
1968|Europe
1874|Europe
1787|Europe
1898|Europe
1956|Asie
1971|Asie
1950|Asie
1940|Asie
1936|Asie
1945|Am. Nord
1830|Am. Nord
1971|Am. Nord
1931|Am. Nord
1933|Am. Nord
1966|Am. Nord
1953|Am. Nord
1900|Am. Nord
1940|Am. Nord
1942|Am. Nord
1913|Am. Nord
1905|Am. Nord
1941|Am. Nord
1960|Am. Nord
1940|Am. Nord
