|uri|name|annee_naiss|biogr
4074|http://data.bnf.fr/ark:/12148/cb148302875#about|Jacques Bousquet|1883|Auteur dramatique. - Compositeur. - A été membre de la Société des auteurs et compositeurs dramatiques et de la Société des auteurs, compositeurs et éditeurs de musique. - Licencié en droit. - Sa femme, Marie-Louise Bousquet, tenait un salon réputé entre les deux-guerres
4075|http://data.bnf.fr/ark:/12148/cb15914941n#about|Gaspar Ipekian|1883|Dramaturge. - Metteur en scène actif à Beyrouth. - Thèse de droit à Paris (1912). - Maire de Téhéran (1920). - Fondateur du Hamazgayin (Beyrouth)
4076|http://data.bnf.fr/ark:/12148/cb165310430#about|Charles Fillion|1883|Avocat à la Cour d'appel de Paris. - A été conseiller municipal de Paris (quartier des Batignolles, 1912). - Professeur de droit à l'Association polytechnique. - Peintre, membre de la Société des artistes angevins
4077|http://data.bnf.fr/ark:/12148/cb16184017h#about|Mehmed Spaho|1883|Docteur en droit. - Homme politique et avocat. - A dirigé l'Organisation musulmane yougoslave (OMY) entre 1921-1939
4078|http://data.bnf.fr/ark:/12148/cb10478505b#about|Edmund Mezger|1883|Professeur de droit. - Docteur en droit (Tübingen, Allemagne, 1908)
4079|http://data.bnf.fr/ark:/12148/cb125733009#about|Mark Veniaminovič Višnâk|1883|Juriste
4080|http://data.bnf.fr/ark:/12148/cb103224747#about|Pierre Moride|1883|Avocat à la cour d'appel de Paris (1905). - Docteur es sciences politiques et économiques (Paris ,1908). - Docteur en droit (Paris, 1909). - Sous-lieutenant d'infanterie
4081|http://data.bnf.fr/ark:/12148/cb12077562h#about|Norman Bentwich|1883|Né à Londres. - Juriste. - Magistrat. - Professeur d'université
4082|http://data.bnf.fr/ark:/12148/cb14452212g#about|Louis-Gustave Bruneau|1883|Docteur en droit (Nancy, 1892)
4083|http://data.bnf.fr/ark:/12148/cb13082181t#about|Émile Bouché-Leclercq|1883|Préfet. - Docteur en droit (Paris, 1913)
4084|http://data.bnf.fr/ark:/12148/cb12596363b#about|Marc Chassaigne|1883|Docteur ès lettres et en droit
4085|http://data.bnf.fr/ark:/12148/cb126201098#about|Paul Legrand|1883|Docteur en droit (Rennes, 1909)
4086|http://data.bnf.fr/ark:/12148/cb15987211z#about|Friedrich Darmstaedter|1883|Juriste
4087|http://data.bnf.fr/ark:/12148/cb157340010#about|William Joseph Donovan|1883|Major général. - Officier de renseignements. - Juriste
4088|http://data.bnf.fr/ark:/12148/cb12342546z#about|Heinrich Pohl|1883|Juriste. - Spécialiste de droit public. - Fut professeur à l'Universität Tübingen, Allemagne
4089|http://data.bnf.fr/ark:/12148/cb124607876#about|Germán Bernácer|1883|Économiste espagnol
